"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.352022458E0,-6.041195570E-1,6.959520523E-1,8.081202865E-1,1.225711261E0
2.362013458E0,-4.927198662E-1,8.957761156E-1,1.358966008E0,1.700581173E0
2.372004458E0,-1.928988769E-1,7.588247502E-1,8.823349017E-1,1.179635476E0
2.381995458E0,-8.392165102E-2,2.652985530E-1,3.010263562E-1,4.099305220E-1
2.391986458E0,-5.722526702E-1,1.438825087E-1,4.512033194E-1,7.428053112E-1
2.401977458E0,-8.500280119E-1,2.425517146E-1,7.589130431E-1,1.165044189E0
2.411968458E0,-8.060497874E-1,2.471912610E-1,1.877205901E0,2.057843962E0
2.421959458E0,-1.132416003E0,2.192145999E-1,1.727746391E0,2.077385047E0
2.431951458E0,-1.131855840E0,6.615759060E-2,9.486721480E-1,1.478327877E0
2.441942458E0,-7.291976394E-1,2.101595286E-1,5.164822197E-1,9.179597529E-1
2.451933458E0,-6.709406604E-1,3.415338563E-1,-4.531767547E-2,7.542283716E-1
2.461924458E0,-6.779434320E-1,6.256456794E-3,-3.482677656E-1,7.621921522E-1
2.471915458E0,-7.634996722E-1,-3.371181121E-1,-5.768208075E-1,1.014545521E0
2.481906458E0,-8.812091665E-1,-3.517221910E-1,-7.606099051E-1,1.216045033E0
2.491897458E0,-8.986060218E-1,-3.003720162E-1,-6.412869447E-1,1.144100116E0
2.501889458E0,-9.466751777E-1,-2.735302997E-1,-3.001440114E-1,1.030096668E0
2.511880458E0,-1.087741375E0,-4.106234966E-1,1.523310775E-1,1.172602964E0
2.521871458E0,-1.323227533E0,-6.145006306E-1,7.802045095E-1,1.654467046E0
2.531862458E0,-1.423055000E0,-7.835817882E-1,1.190295471E0,2.013923846E0
2.541853458E0,-1.269142104E0,-8.442033812E-1,1.422008933E0,2.084588793E0
2.551844458E0,-1.122243967E0,-7.493825202E-1,1.438393416E0,1.972303552E0
2.561835458E0,-1.188113144E0,-6.888506819E-1,1.317149060E0,1.902895097E0
2.571827458E0,-1.421343958E0,-7.272649884E-1,1.119914290E0,1.950215636E0
2.581818458E0,-1.628318289E0,-7.554523686E-1,9.252002549E-1,2.019436615E0
2.591809458E0,-1.755552240E0,-6.938204498E-1,6.990018868E-1,2.012946627E0
2.601800458E0,-1.873974583E0,-5.686277985E-1,1.710632175E-1,1.965802873E0
2.611791458E0,-2.611565900E0,-8.892186094E-1,-6.742044300E-1,2.839989049E0
2.621782458E0,-2.896882542E0,-1.253317638E0,-9.403965837E-1,3.293490444E0
2.631773458E0,-2.199718728E0,-9.599667759E-1,-5.032172263E-1,2.452249227E0
2.641765458E0,-1.656384924E0,-5.474200204E-1,2.087292266E-1,1.756942682E0
2.651756458E0,-1.251526198E0,-2.003696086E-1,1.064555776E0,1.655217449E0
2.661747458E0,-1.239312680E0,1.168641696E-1,7.790947080E-2,1.247246182E0
2.671738458E0,-1.111137766E0,2.746775234E-1,-3.487273568E-1,1.196530671E0
2.681729458E0,-1.169457456E0,4.191223515E-1,-5.034470218E-1,1.340430226E0
2.691720458E0,-1.336676422E0,4.301221701E-1,-8.852976859E-1,1.659958111E0
2.701711458E0,-1.316447541E0,3.275489975E-1,-9.751226127E-1,1.670684465E0
2.711702458E0,-1.428899292E0,2.527838304E-1,-9.532025707E-1,1.736158976E0
2.721694458E0,-1.464942406E0,2.512023047E-1,-9.175415719E-1,1.746723043E0
2.731685458E0,-1.387510068E0,2.667994601E-1,-7.688293362E-1,1.608559818E0
2.741676458E0,-1.266819883E0,2.475194360E-1,-4.375366223E-1,1.362914811E0
2.751667458E0,-1.128716835E0,1.915021598E-1,-1.500997800E-1,1.154644844E0
2.761658458E0,-1.059961326E0,2.423220287E-1,4.200347364E-2,1.088118684E0
2.771649458E0,-1.000927545E0,3.636239427E-1,-2.359176099E-2,1.065192421E0
2.781640458E0,-9.567214251E-1,4.105307086E-1,-4.036952770E-1,1.116611492E0
2.791632458E0,-8.762245613E-1,3.996057343E-1,-8.817928648E-1,1.305761418E0
2.801623458E0,-8.848192374E-1,4.041015488E-1,-1.174958224E0,1.525362243E0
2.811614958E0,-9.565541216E-1,3.874427583E-1,-1.316214091E0,1.672581003E0
2.821605958E0,-1.038565268E0,3.972612932E-1,-1.350690444E0,1.749513940E0
2.831596958E0,-1.188184041E0,3.903780241E-1,-1.263789709E0,1.778015958E0
2.841587958E0,-1.169772183E0,3.466376350E-1,-9.391400170E-1,1.539645602E0
2.851578958E0,-1.084951449E0,3.841523108E-1,-4.958292693E-1,1.253211598E0
2.861570958E0,-7.459583907E-1,5.336376946E-1,-2.863363963E-1,9.608390300E-1
2.871561958E0,-3.937540602E-1,8.483913763E-1,-1.891439778E-1,9.542461064E-1
2.881552958E0,-4.293584872E-2,1.102895238E0,-5.128101683E-1,1.217043821E0
2.891543958E0,-4.285700267E-1,8.448019168E-1,-6.697400808E-1,1.160135476E0
2.901534958E0,-1.097036986E0,1.835559399E-1,-4.471605545E-1,1.198805861E0
2.911525958E0,-7.676091684E-1,7.918178838E-2,-4.810159332E-1,9.093238802E-1
2.921516958E0,-1.111796235E0,1.509608921E-1,-2.208317935E-2,1.122215544E0
2.931507958E0,-1.125992398E0,2.166038546E-1,1.672023010E-1,1.158763444E0
2.941499958E0,-1.150646525E0,3.329763831E-1,2.852493989E-1,1.231352068E0
2.951490958E0,-1.191978007E0,4.522289576E-1,3.528016967E-1,1.322796899E0
2.961481958E0,-1.170552713E0,3.735876712E-1,4.850329703E-1,1.320991440E0
2.971472958E0,-1.083661992E0,1.654762761E-1,7.123124886E-1,1.307323522E0
2.981463958E0,-9.453851357E-1,-3.258821391E-2,8.957244408E-1,1.302742231E0
2.991454958E0,-8.584681754E-1,-9.744783226E-2,8.947520489E-1,1.243802604E0
3.001445958E0,-7.984328388E-1,-1.068145967E-1,7.140198755E-1,1.076442631E0
3.011437958E0,-6.833840469E-1,-2.017749320E-1,5.234883535E-1,8.841758507E-1
3.021428958E0,-3.888652763E-1,-4.083913951E-1,5.524420112E-1,7.894250506E-1
3.031419958E0,-5.024804771E-3,-5.775545599E-1,7.019488835E-1,9.090251666E-1
3.041410958E0,3.500742995E-1,-7.206493025E-1,7.585522699E-1,1.103308197E0
3.051401958E0,4.280997279E-1,-6.659654108E-1,8.139786118E-1,1.135491297E0
