max,min,ptp,mean,median,var,skew,kurt,rms,zero,Label
40.90148867,-46.89429999,87.79578866,0.771903023,1.047297171,"0    133.693037
dtype: float64",[0.13229312],[2.31879287],11.58830751,0,Jump
41.61594825,-20.5486735,62.16462175,-0.265621104,-6.457608541,"0    228.091789
dtype: float64",[0.99894554],[-0.05504422],15.10504365,0,Jump
41.75578558,-40.11606259,81.87184817,1.999863729,2.419333935,"0    67.203936
dtype: float64",[-0.27841162],[4.4116845],8.438210145,0,Jump
42.15537027,-40.37464986,82.53002013,1.935514571,1.570134182,"0    78.627953
dtype: float64",[0.33269917],[5.38133029],9.076021686,0,Jump
42.42818732,-30.60639664,73.03458396,1.542731736,0.990412643,"0    44.830555
dtype: float64",[0.42831794],[9.26517315],6.870995293,0,Jump
42.42843524,-45.27021011,87.69864535,0.288110815,-0.310909613,"0    101.337728
dtype: float64",[0.65565436],[3.12416791],10.07078624,0,Jump
42.9854831,-19.02249876,62.00798186,0.512346745,-0.264290639,"0    96.859032
dtype: float64",[1.54367904],[3.9515229],9.855025698,0,Jump
43.21039041,-19.58781342,62.79820383,0.277418927,-4.224722652,"0    224.132269
dtype: float64",[0.83797222],[-0.34276679],14.9736178,0,Jump
43.2687503,-18.31194278,61.58069308,0.173182737,-5.80416582,"0    212.200296
dtype: float64",[0.79777506],[-0.55933124],14.56812576,0,Jump
43.60094699,-61.44890385,105.0498508,1.469353194,1.50109406,"0    89.163668
dtype: float64",[-1.46086672],[14.18349514],9.556289367,0,Jump
44.24619893,-19.20985407,63.456053,-0.202351051,-5.248636479,"0    193.387032
dtype: float64",[1.02802019],[0.19667691],13.90783872,0,Jump
44.64233142,-39.07638789,83.71871931,1.396078844,0.99028225,"0    48.23543
dtype: float64",[-0.18566445],[8.19809806],7.084099496,0,Jump
45.49550567,-39.41835879,84.91386446,1.698290686,1.592637849,"0    50.22295
dtype: float64",[-0.39908692],[9.0258128],7.287464697,0,Jump
45.61837672,-20.90518993,66.52356665,-0.192003249,-6.312317219,"0    254.877408
dtype: float64",[0.8584065],[-0.47474896],15.966035,0,Jump
45.83185155,-36.23663381,82.06848536,-0.104299535,-0.86244801,"0    87.589228
dtype: float64",[0.30189836],[2.11039834],9.359492864,0,Jump
46.72677024,-19.98559599,66.71236623,1.066409763,-3.725004692,"0    192.148589
dtype: float64",[0.78144534],[-0.28553952],13.90272704,0,Jump
46.85154515,-31.71777458,78.56931973,1.792079596,1.178618472,"0    50.103089
dtype: float64",[1.18392228],[8.79835929],7.301687383,0,Jump
47.03367422,-17.64900418,64.6826784,-0.332988416,-7.130442384,"0    224.919147
dtype: float64",[1.05916942],[-0.00242712],15.00100091,0,Jump
48.50151714,-19.97697953,68.47849667,-0.04837746,-8.155602544,"0    313.497759
dtype: float64",[1.10540453],[0.03751982],17.70593402,0,Jump
48.89860389,-50.14448183,99.04308572,0.723189904,0.320356666,"0    74.368584
dtype: float64",[0.03623269],[7.64887886],8.653992589,0,Jump
49.32183004,-34.35685689,83.67868693,0.774035547,0.801827038,"0    34.301818
dtype: float64",[1.04128649],[16.50014779],5.907702537,0,Jump
50.96363932,-42.5450755,93.50871482,-0.722128452,-1.779409026,"0    196.933096
dtype: float64",[1.14299793],[2.45850418],14.05185275,0,Jump
51.04550501,-42.00035824,93.04586325,1.238645615,1.224252665,"0    79.432228
dtype: float64",[0.29060162],[7.40813855],8.998137101,0,Jump
53.82367154,-20.86095458,74.68462612,0.24823102,-1.329266538,"0    230.791998
dtype: float64",[1.28256914],[1.40060122],15.19386772,0,Jump
